"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/26/2022 09:26:47 am,1.405,1.00,,
09/26/2022 09:26:47 am,1.452,0.00,0.05,1.05
09/26/2022 09:26:51 am,5.440,1.00,,
09/26/2022 09:26:51 am,5.502,0.00,0.06,0.80
09/26/2022 09:26:54 am,8.666,1.00,,
09/26/2022 09:26:54 am,8.724,0.00,0.06,0.85
09/26/2022 09:26:58 am,12.711,1.00,,
09/26/2022 09:26:58 am,12.768,0.00,0.06,0.88
09/26/2022 09:27:01 am,15.914,1.00,,
09/26/2022 09:27:01 am,15.971,0.00,0.06,0.88
09/26/2022 09:27:05 am,19.935,1.00,,
09/26/2022 09:27:05 am,19.980,0.00,0.05,1.10
09/26/2022 09:27:09 am,23.148,1.00,,
09/26/2022 09:27:09 am,23.193,0.00,0.04,1.11
09/26/2022 09:27:13 am,27.208,1.00,,
09/26/2022 09:27:13 am,27.271,0.00,0.06,0.79
09/26/2022 09:27:16 am,30.383,1.00,,
09/26/2022 09:27:16 am,30.441,0.00,0.06,0.86
09/26/2022 09:27:20 am,34.425,1.00,,
09/26/2022 09:27:20 am,34.487,0.00,0.06,0.81
09/26/2022 09:27:23 am,37.625,1.00,,
09/26/2022 09:27:23 am,37.686,0.00,0.06,0.81
09/26/2022 09:27:27 am,41.681,1.00,,
09/26/2022 09:27:27 am,41.729,0.00,0.05,1.05
09/26/2022 09:27:30 am,44.871,1.00,,
09/26/2022 09:27:30 am,44.930,0.00,0.06,0.86
09/26/2022 09:27:34 am,48.961,1.00,,
09/26/2022 09:27:35 am,49.011,0.00,0.05,1.00
09/26/2022 09:27:38 am,52.123,1.00,,
09/26/2022 09:27:38 am,52.173,0.00,0.05,1.01
09/26/2022 09:27:42 am,56.178,1.00,,
09/26/2022 09:27:42 am,56.223,0.00,0.05,1.09
09/26/2022 09:27:45 am,59.371,1.00,,
09/26/2022 09:27:45 am,59.418,0.00,0.05,1.06
09/26/2022 09:27:49 am,63.418,1.00,,
09/26/2022 09:27:49 am,63.472,0.00,0.05,0.93
09/26/2022 09:27:52 am,66.618,1.00,,
09/26/2022 09:27:52 am,66.667,0.00,0.05,1.01
09/26/2022 09:27:56 am,70.714,1.00,,
09/26/2022 09:27:56 am,70.769,0.00,0.06,0.91
09/26/2022 09:27:59 am,73.861,1.00,,
09/26/2022 09:27:59 am,73.910,0.00,0.05,1.02
09/26/2022 09:28:03 am,77.918,1.00,,
09/26/2022 09:28:03 am,77.967,0.00,0.05,1.04
09/26/2022 09:28:07 am,81.102,1.00,,
09/26/2022 09:28:07 am,81.152,0.00,0.05,0.99
09/26/2022 09:28:11 am,85.174,1.00,,
09/26/2022 09:28:11 am,85.223,0.00,0.05,1.02
09/26/2022 09:28:14 am,88.334,1.00,,
09/26/2022 09:28:14 am,88.399,0.00,0.07,0.77
09/26/2022 09:28:18 am,92.461,1.00,,
09/26/2022 09:28:18 am,92.512,0.00,0.05,0.97
09/26/2022 09:28:21 am,95.577,1.00,,
09/26/2022 09:28:21 am,95.647,0.00,0.07,0.72
09/26/2022 09:28:25 am,99.657,1.00,,
09/26/2022 09:28:25 am,99.721,0.00,0.06,0.79
09/26/2022 09:28:28 am,102.823,1.00,,
09/26/2022 09:28:28 am,102.882,0.00,0.06,0.83
09/26/2022 09:28:32 am,106.903,1.00,,
09/26/2022 09:28:32 am,106.964,0.00,0.06,0.82
09/26/2022 09:28:36 am,110.081,1.00,,
09/26/2022 09:28:36 am,110.139,0.00,0.06,0.86
09/26/2022 09:28:40 am,114.208,1.00,,
09/26/2022 09:28:40 am,114.259,0.00,0.05,0.98
09/26/2022 09:28:43 am,117.338,1.00,,
09/26/2022 09:28:43 am,117.410,0.00,0.07,0.69
09/26/2022 09:28:47 am,121.431,1.00,,
09/26/2022 09:28:47 am,121.499,0.00,0.07,0.74
09/26/2022 09:28:50 am,124.571,1.00,,
09/26/2022 09:28:50 am,124.631,0.00,0.06,0.83
09/26/2022 09:28:54 am,128.672,1.00,,
09/26/2022 09:28:54 am,128.727,0.00,0.05,0.91
09/26/2022 09:28:57 am,131.806,1.00,,
09/26/2022 09:28:57 am,131.878,0.00,0.07,0.69
09/26/2022 09:29:01 am,135.952,1.00,,
09/26/2022 09:29:02 am,136.022,0.00,0.07,0.71
09/26/2022 09:29:05 am,139.084,1.00,,
09/26/2022 09:29:05 am,139.149,0.00,0.06,0.77
09/26/2022 09:29:09 am,143.175,1.00,,
09/26/2022 09:29:09 am,143.244,0.00,0.07,0.72
09/26/2022 09:29:12 am,146.293,1.00,,
09/26/2022 09:29:12 am,146.369,0.00,0.08,0.66
09/26/2022 09:29:16 am,150.400,1.00,,
09/26/2022 09:29:16 am,150.470,0.00,0.07,0.72
09/26/2022 09:29:19 am,153.560,1.00,,
09/26/2022 09:29:19 am,153.627,0.00,0.07,0.75
09/26/2022 09:29:23 am,157.674,1.00,,
09/26/2022 09:29:23 am,157.741,0.00,0.07,0.75
09/26/2022 09:29:26 am,160.835,1.00,,
09/26/2022 09:29:26 am,160.901,0.00,0.07,0.76
09/26/2022 09:29:30 am,164.942,1.00,,
09/26/2022 09:29:31 am,165.016,0.00,0.07,0.68
09/26/2022 09:29:34 am,168.055,1.00,,
09/26/2022 09:29:34 am,168.128,0.00,0.07,0.68
09/26/2022 09:29:38 am,172.159,1.00,,
09/26/2022 09:29:38 am,172.221,0.00,0.06,0.81
09/26/2022 09:29:41 am,175.277,1.00,,
09/26/2022 09:29:41 am,175.353,0.00,0.08,0.65
09/26/2022 09:29:45 am,179.420,1.00,,
09/26/2022 09:29:45 am,179.491,0.00,0.07,0.70
09/26/2022 09:29:48 am,182.572,1.00,,
09/26/2022 09:29:48 am,182.629,0.00,0.06,0.88
09/26/2022 09:29:52 am,186.694,1.00,,
09/26/2022 09:29:52 am,186.749,0.00,0.06,0.90
09/26/2022 09:29:55 am,189.787,1.00,,
09/26/2022 09:29:55 am,189.861,0.00,0.07,0.68
09/26/2022 09:29:59 am,193.892,1.00,,
09/26/2022 09:29:59 am,193.967,0.00,0.07,0.67
09/26/2022 09:30:03 am,197.041,1.00,,
09/26/2022 09:30:03 am,197.115,0.00,0.07,0.68
09/26/2022 09:30:07 am,201.141,1.00,,
09/26/2022 09:30:07 am,201.217,0.00,0.08,0.66
09/26/2022 09:30:10 am,204.308,1.00,,
09/26/2022 09:30:10 am,204.363,0.00,0.06,0.90
09/26/2022 09:30:14 am,208.446,1.00,,
09/26/2022 09:30:14 am,208.503,0.00,0.06,0.87
09/26/2022 09:30:17 am,211.539,1.00,,
09/26/2022 09:30:17 am,211.618,0.00,0.08,0.64
09/26/2022 09:30:21 am,215.652,1.00,,
09/26/2022 09:30:21 am,215.717,0.00,0.07,0.76
09/26/2022 09:30:24 am,218.759,1.00,,
09/26/2022 09:30:24 am,218.834,0.00,0.08,0.66
09/26/2022 09:30:28 am,222.902,1.00,,
09/26/2022 09:30:28 am,222.962,0.00,0.06,0.84
09/26/2022 09:30:32 am,226.039,1.00,,
09/26/2022 09:30:32 am,226.115,0.00,0.08,0.66
09/26/2022 09:30:36 am,230.198,1.00,,
09/26/2022 09:30:36 am,230.266,0.00,0.07,0.74
09/26/2022 09:30:39 am,233.282,1.00,,
09/26/2022 09:30:39 am,233.348,0.00,0.07,0.76
09/26/2022 09:30:43 am,237.388,1.00,,
09/26/2022 09:30:43 am,237.466,0.00,0.08,0.64
09/26/2022 09:30:46 am,240.526,1.00,,
09/26/2022 09:30:46 am,240.607,0.00,0.08,0.62
09/26/2022 09:30:50 am,244.638,1.00,,
09/26/2022 09:30:50 am,244.705,0.00,0.07,0.75
09/26/2022 09:30:53 am,247.758,1.00,,
09/26/2022 09:30:53 am,247.831,0.00,0.07,0.68
09/26/2022 09:30:57 am,251.937,1.00,,
09/26/2022 09:30:57 am,251.999,0.00,0.06,0.80
09/26/2022 09:31:01 am,255.032,1.00,,
09/26/2022 09:31:01 am,255.107,0.00,0.07,0.67
09/26/2022 09:31:05 am,259.153,1.00,,
09/26/2022 09:31:05 am,259.220,0.00,0.07,0.75
09/26/2022 09:31:08 am,262.259,1.00,,
09/26/2022 09:31:08 am,262.330,0.00,0.07,0.70
09/26/2022 09:31:12 am,266.399,1.00,,
09/26/2022 09:31:12 am,266.462,0.00,0.06,0.80
09/26/2022 09:31:15 am,269.503,1.00,,
09/26/2022 09:31:15 am,269.581,0.00,0.08,0.64
09/26/2022 09:31:19 am,273.693,1.00,,
09/26/2022 09:31:19 am,273.776,0.00,0.08,0.60
09/26/2022 09:31:22 am,276.774,1.00,,
09/26/2022 09:31:22 am,276.836,0.00,0.06,0.82
09/26/2022 09:31:26 am,280.895,1.00,,
09/26/2022 09:31:26 am,280.976,0.00,0.08,0.62
09/26/2022 09:31:30 am,284.020,1.00,,
09/26/2022 09:31:30 am,284.101,0.00,0.08,0.61
09/26/2022 09:31:34 am,288.158,1.00,,
09/26/2022 09:31:34 am,288.220,0.00,0.06,0.81
09/26/2022 09:31:37 am,291.212,1.00,,
09/26/2022 09:31:37 am,291.297,0.00,0.09,0.58
09/26/2022 09:31:41 am,295.425,1.00,,
09/26/2022 09:31:41 am,295.503,0.00,0.08,0.64
09/26/2022 09:31:44 am,298.518,1.00,,
09/26/2022 09:31:44 am,298.590,0.00,0.07,0.69
09/26/2022 09:31:48 am,302.662,1.00,,
09/26/2022 09:31:48 am,302.727,0.00,0.07,0.76
09/26/2022 09:31:51 am,305.756,1.00,,
09/26/2022 09:31:51 am,305.820,0.00,0.06,0.78
09/26/2022 09:31:55 am,309.890,1.00,,
09/26/2022 09:31:55 am,309.975,0.00,0.08,0.59
09/26/2022 09:31:58 am,312.958,1.00,,
09/26/2022 09:31:59 am,313.025,0.00,0.07,0.75
09/26/2022 09:32:03 am,317.175,1.00,,
09/26/2022 09:32:03 am,317.260,0.00,0.08,0.59
09/26/2022 09:32:06 am,320.248,1.00,,
09/26/2022 09:32:06 am,320.312,0.00,0.06,0.78
09/26/2022 09:32:10 am,324.385,1.00,,
09/26/2022 09:32:10 am,324.466,0.00,0.08,0.62
09/26/2022 09:32:13 am,327.495,1.00,,
09/26/2022 09:32:13 am,327.568,0.00,0.07,0.69
09/26/2022 09:32:17 am,331.662,1.00,,
09/26/2022 09:32:17 am,331.746,0.00,0.08,0.60
09/26/2022 09:32:20 am,334.671,1.00,,
09/26/2022 09:32:20 am,334.748,0.00,0.08,0.65
09/26/2022 09:32:24 am,338.894,1.00,,
09/26/2022 09:32:24 am,338.982,0.00,0.09,0.57
09/26/2022 09:32:27 am,341.988,1.00,,
09/26/2022 09:32:28 am,342.058,0.00,0.07,0.71
09/26/2022 09:32:32 am,346.147,1.00,,
09/26/2022 09:32:32 am,346.212,0.00,0.07,0.76
09/26/2022 09:32:35 am,349.234,1.00,,
09/26/2022 09:32:35 am,349.303,0.00,0.07,0.73
09/26/2022 09:32:39 am,353.406,1.00,,
09/26/2022 09:32:39 am,353.495,0.00,0.09,0.56
09/26/2022 09:32:42 am,356.407,1.00,,
09/26/2022 09:32:42 am,356.475,0.00,0.07,0.73
09/26/2022 09:32:46 am,360.672,1.00,,
09/26/2022 09:32:46 am,360.753,0.00,0.08,0.61
09/26/2022 09:32:49 am,363.719,1.00,,
09/26/2022 09:32:49 am,363.788,0.00,0.07,0.73
09/26/2022 09:32:53 am,367.901,1.00,,
09/26/2022 09:32:53 am,367.978,0.00,0.08,0.65
09/26/2022 09:32:56 am,370.957,1.00,,
09/26/2022 09:32:57 am,371.025,0.00,0.07,0.73
09/26/2022 09:33:01 am,375.202,1.00,,
09/26/2022 09:33:01 am,375.302,0.00,0.10,0.50
09/26/2022 09:33:04 am,378.138,1.00,,
09/26/2022 09:33:04 am,378.210,0.00,0.07,0.70
09/26/2022 09:33:08 am,382.394,1.00,,
09/26/2022 09:33:08 am,382.489,0.00,0.09,0.53
09/26/2022 09:33:11 am,385.453,1.00,,
09/26/2022 09:33:11 am,385.527,0.00,0.07,0.67
09/26/2022 09:33:15 am,389.663,1.00,,
09/26/2022 09:33:15 am,389.737,0.00,0.07,0.67
09/26/2022 09:33:18 am,392.692,1.00,,
09/26/2022 09:33:18 am,392.782,0.00,0.09,0.55
09/26/2022 09:33:22 am,396.980,1.00,,
09/26/2022 09:33:23 am,397.062,0.00,0.08,0.61
09/26/2022 09:33:25 am,399.850,1.00,,
09/26/2022 09:33:25 am,399.945,0.00,0.10,0.53
09/26/2022 09:33:30 am,404.178,1.00,,
09/26/2022 09:33:30 am,404.259,0.00,0.08,0.62
09/26/2022 09:33:33 am,407.177,1.00,,
09/26/2022 09:33:33 am,407.253,0.00,0.08,0.66
09/26/2022 09:33:37 am,411.417,1.00,,
09/26/2022 09:33:37 am,411.493,0.00,0.08,0.66
09/26/2022 09:33:40 am,414.399,1.00,,
09/26/2022 09:33:40 am,414.486,0.00,0.09,0.58
09/26/2022 09:33:44 am,418.741,1.00,,
09/26/2022 09:33:44 am,418.836,0.00,0.09,0.53
09/26/2022 09:33:47 am,421.604,1.00,,
09/26/2022 09:33:47 am,421.693,0.00,0.09,0.56
09/26/2022 09:33:51 am,425.907,1.00,,
09/26/2022 09:33:52 am,426.008,0.00,0.10,0.50
09/26/2022 09:33:54 am,428.899,1.00,,
09/26/2022 09:33:54 am,428.985,0.00,0.09,0.59
09/26/2022 09:33:59 am,433.154,1.00,,
09/26/2022 09:33:59 am,433.250,0.00,0.10,0.53
09/26/2022 09:34:02 am,436.118,1.00,,
09/26/2022 09:34:02 am,436.225,0.00,0.11,0.47
09/26/2022 09:34:06 am,440.499,1.00,,
09/26/2022 09:34:06 am,440.584,0.00,0.08,0.59
09/26/2022 09:34:09 am,443.299,1.00,,
09/26/2022 09:34:09 am,443.414,0.00,0.12,0.43
09/26/2022 09:34:13 am,447.675,1.00,,
09/26/2022 09:34:13 am,447.758,0.00,0.08,0.60
09/26/2022 09:34:16 am,450.628,1.00,,
09/26/2022 09:34:16 am,450.709,0.00,0.08,0.62
09/26/2022 09:34:20 am,454.932,1.00,,
09/26/2022 09:34:21 am,455.018,0.00,0.09,0.58
09/26/2022 09:34:23 am,457.810,1.00,,
09/26/2022 09:34:23 am,457.920,0.00,0.11,0.46
09/26/2022 09:34:28 am,462.247,1.00,,
09/26/2022 09:34:28 am,462.332,0.00,0.09,0.59
09/26/2022 09:34:31 am,465.065,1.00,,
09/26/2022 09:34:31 am,465.175,0.00,0.11,0.46
09/26/2022 09:34:35 am,469.406,1.00,,
09/26/2022 09:34:35 am,469.512,0.00,0.11,0.47
09/26/2022 09:34:38 am,472.360,1.00,,
09/26/2022 09:34:38 am,472.457,0.00,0.10,0.51
09/26/2022 09:34:42 am,476.654,1.00,,
09/26/2022 09:34:42 am,476.770,0.00,0.12,0.43
09/26/2022 09:34:45 am,479.555,1.00,,
09/26/2022 09:34:45 am,479.660,0.00,0.11,0.48
09/26/2022 09:34:49 am,483.986,1.00,,
09/26/2022 09:34:50 am,484.094,0.00,0.11,0.46
09/26/2022 09:34:52 am,486.778,1.00,,
09/26/2022 09:34:52 am,486.896,0.00,0.12,0.42
09/26/2022 09:34:57 am,491.164,1.00,,
09/26/2022 09:34:57 am,491.251,0.00,0.09,0.58
09/26/2022 09:35:00 am,494.084,1.00,,
09/26/2022 09:35:00 am,494.169,0.00,0.09,0.59
09/26/2022 09:35:04 am,498.435,1.00,,
09/26/2022 09:35:04 am,498.546,0.00,0.11,0.45
09/26/2022 09:35:07 am,501.241,1.00,,
09/26/2022 09:35:07 am,501.361,0.00,0.12,0.42
09/26/2022 09:35:11 am,505.733,1.00,,
09/26/2022 09:35:11 am,505.827,0.00,0.09,0.53
09/26/2022 09:35:14 am,508.533,1.00,,
09/26/2022 09:35:14 am,508.654,0.00,0.12,0.42
09/26/2022 09:35:18 am,512.917,1.00,,
09/26/2022 09:35:19 am,513.030,0.00,0.11,0.44
09/26/2022 09:35:21 am,515.821,1.00,,
09/26/2022 09:35:21 am,515.932,0.00,0.11,0.45
09/26/2022 09:35:26 am,520.198,1.00,,
09/26/2022 09:35:26 am,520.324,0.00,0.13,0.40
09/26/2022 09:35:28 am,522.986,1.00,,
09/26/2022 09:35:29 am,523.083,0.00,0.10,0.51
09/26/2022 09:35:33 am,527.490,1.00,,
09/26/2022 09:35:33 am,527.619,0.00,0.13,0.39
09/26/2022 09:35:36 am,530.253,1.00,,
09/26/2022 09:35:36 am,530.374,0.00,0.12,0.42
09/26/2022 09:35:40 am,534.680,1.00,,
09/26/2022 09:35:40 am,534.775,0.00,0.09,0.53
09/26/2022 09:35:43 am,537.519,1.00,,
09/26/2022 09:35:43 am,537.617,0.00,0.10,0.51
09/26/2022 09:35:47 am,541.953,1.00,,
09/26/2022 09:35:48 am,542.086,0.00,0.13,0.38
09/26/2022 09:35:50 am,544.676,1.00,,
09/26/2022 09:35:50 am,544.793,0.00,0.12,0.43
09/26/2022 09:35:55 am,549.209,1.00,,
09/26/2022 09:35:55 am,549.323,0.00,0.11,0.44
09/26/2022 09:35:57 am,551.996,1.00,,
09/26/2022 09:35:58 am,552.126,0.00,0.13,0.39
09/26/2022 09:36:02 am,556.396,1.00,,
09/26/2022 09:36:02 am,556.520,0.00,0.12,0.40
09/26/2022 09:36:05 am,559.252,1.00,,
09/26/2022 09:36:05 am,559.379,0.00,0.13,0.39
09/26/2022 09:36:09 am,563.709,1.00,,
09/26/2022 09:36:09 am,563.832,0.00,0.12,0.41
09/26/2022 09:36:12 am,566.418,1.00,,
09/26/2022 09:36:12 am,566.517,0.00,0.10,0.51
09/26/2022 09:36:16 am,570.960,1.00,,
09/26/2022 09:36:17 am,571.098,0.00,0.14,0.36
09/26/2022 09:36:19 am,573.702,1.00,,
09/26/2022 09:36:19 am,573.825,0.00,0.12,0.41
09/26/2022 09:36:24 am,578.169,1.00,,
09/26/2022 09:36:24 am,578.276,0.00,0.11,0.46
09/26/2022 09:36:26 am,580.942,1.00,,
09/26/2022 09:36:27 am,581.059,0.00,0.12,0.42
09/26/2022 09:36:31 am,585.467,1.00,,
09/26/2022 09:36:31 am,585.610,0.00,0.14,0.35
09/26/2022 09:36:34 am,588.118,1.00,,
09/26/2022 09:36:34 am,588.225,0.00,0.11,0.47
09/26/2022 09:36:38 am,592.673,1.00,,
09/26/2022 09:36:38 am,592.803,0.00,0.13,0.38
09/26/2022 09:36:41 am,595.430,1.00,,
09/26/2022 09:36:41 am,595.569,0.00,0.14,0.36
09/26/2022 09:36:45 am,599.879,1.00,,
09/26/2022 09:36:46 am,600.019,0.00,0.14,0.36
09/26/2022 09:36:48 am,602.667,1.00,,
09/26/2022 09:36:48 am,602.807,0.00,0.14,0.36
09/26/2022 09:36:53 am,607.226,1.00,,
09/26/2022 09:36:53 am,607.335,0.00,0.11,0.46
09/26/2022 09:36:55 am,609.832,1.00,,
09/26/2022 09:36:55 am,609.954,0.00,0.12,0.41
09/26/2022 09:37:00 am,614.437,1.00,,
09/26/2022 09:37:00 am,614.578,0.00,0.14,0.36
09/26/2022 09:37:03 am,617.146,1.00,,
09/26/2022 09:37:03 am,617.273,0.00,0.13,0.39
